Catagory_Name,productName,productPrice,productSize,productType,productURL,imageUrl,prodId,skuId
Maybelline,The Colossal Big Shot Washable Mascara Very Black,$8.99,0.33 oz ,Mascara,https://www.walgreens.com/store/c/maybelline-volum'-express-the-colossal-big-shot-washable-mascara/ID=300388576-product?skuId=sku6283668,https://pics.drugstore.com/prodimg/590052/155.jpg,300388576,sku6283668
Arches & Halos,Hint of Tint Brow Mousse Dark Brown,$12.99,0.11 fl oz ,Eyebrow Makeup,https://www.walgreens.com/store/c/arches-%26-halos-hint-of-tint-brow-mousse/ID=300400834-product?skuId=400621879,https://pics.drugstore.com/prodimg/621879/155.jpg,300400834,400621879
L'Oreal Paris,X Fiber Mascara Blackest Black,$11.99,0.43 oz ,Mascara,https://www.walgreens.com/store/c/l'oreal-paris-voluminous-x-fiber-mascara/ID=300403961-product,https://pics.drugstore.com/prodimg/603529/155.jpg,300403961,sku6311582
Pixi by Petra,Lash Booster Mascara Blackest Black,$15.00,0.25 OZ ,Mascara,https://www.walgreens.com/store/c/pixi-by-petra-lash-booster-mascara/ID=300398957-product,https://pics.drugstore.com/prodimg/620332/155.jpg,300398957,400620332
Milani,Stay Put Mechanical Eyeliner Silver Foxy,$8.99,0.01 oz ,Eyeliner,https://www.walgreens.com/store/c/milani-stay-put-mechanical-eyeliner/ID=300398795-product?skuId=400620039,https://pics.drugstore.com/prodimg/620039/155.jpg,300398795,400620039
L'Oreal Paris,Extra Volume Collagen Waterproof Mascara Blackest Black 695,$10.49,0.34 fl oz ,Mascara,https://www.walgreens.com/store/c/l'oreal-paris-voluminous-extra-volume-collagen-waterproof-mascara/ID=prod6381906-product,https://pics.drugstore.com/prodimg/223057/155.jpg,prod6381906,sku6002652
Maybelline,Master Kajal Eyeliner Onyx Rush,$8.29,0.05 oz ,Eyeliner,https://www.walgreens.com/store/c/maybelline-eye-studio-master-kajal-eyeliner/ID=prod6382458-product,https://pics.drugstore.com/prodimg/528551/155.jpg,prod6382458,sku6219343
NYX Professional Makeup,Eyeshadow Base Black,$5.99,0.25 oz ,Eyeshadow Primer,https://www.walgreens.com/store/c/nyx-professional-makeup-eyeshadow-base/ID=prod6346352-product,https://pics.drugstore.com/prodimg/591286/155.jpg,prod6346352,sku6285610
Milani,Stay Put Matte 17 Hour Liquid Liner Black Matte,$7.99,0.09 oz ,Eyeliner,https://www.walgreens.com/store/c/milani-stay-put-matte-17-hour-liquid-liner/ID=400389742-product,https://pics.drugstore.com/prodimg/591952/155.jpg,400389742,sku6284430
Soap & Glory,Thick & Fast HD Mascara Film Noir,$14.00,0.12 oz ,Mascara,https://www.walgreens.com/store/c/soap-%26-glory-thick-%26-fast-hd-mascara/ID=300399912-product,https://pics.drugstore.com/prodimg/621352/155.jpg,300399912,400621352
Wet n Wild,Waterproof Liquid Eyeliner,$5.29,1 ea ,Eyeliner,https://www.walgreens.com/store/c/wet-n-wild-waterproof-liquid-eyeliner/ID=300398610-product,https://pics.drugstore.com/prodimg/619829/155.jpg,300398610,400619829
Rimmel,Magnif'eyes Eye Primer,$5.99,0.2 fl oz ,Eyeshadow Primer,https://www.walgreens.com/store/c/rimmel-magnif'eyes-eye-primer/ID=300398235-product,https://pics.drugstore.com/prodimg/619366/155.jpg,300398235,400619366
Ardell,Naked Lash 421 Black,$4.49,1 ea ,False Eyelashes,https://www.walgreens.com/store/c/ardell-naked-lash-421/ID=300397841-product,https://pics.drugstore.com/prodimg/618897/155.jpg,300397841,400618897
CoverGirl,The Super Sizer Fibers Mascara Very Black,$6.69,0.44 oz ,Mascara,https://www.walgreens.com/store/c/covergirl-the-super-sizer-fibers-mascara/ID=300404276-product?skuId=sku6275763,https://pics.drugstore.com/prodimg/577352/155.jpg,300404276,sku6275763
Revlon,PhotoReady Primer + Shadow Metropolitan,$9.79,0.1 oz ,Eyeshadow,https://www.walgreens.com/store/c/revlon-photoready-primer---shadow/ID=300389134-product?skuId=sku6149347,https://pics.drugstore.com/prodimg/464432/155.jpg,300389134,sku6149347
